Category,Hours,Description
Kyleigh,25,She is my girlfriend
Friends,10,This could be lunch or dinner or hanging out (playing tennis or ping pong or getting boba)
Active,5,Bouldering or playing tennis or running
Chill,10,Watching anime - this is typically at night
SEC,15,This is my student organization - I'm a manager so this involves lots of meetings
Job Hunt,5,This is for applying to jobs and networking over zoom
School,10,Going to class and doing assignments
Tigers,5,This is my network (involves weekly meetings and hanging out and occasional interviews or trips)
AggieInnovators,5,This is a student organization I'm trying to start that is an oncampus incubator
Learning,10,Reading books or working on coding projects or watching videos